Company Name,Company Website,Majors Hiring,Positions Available,Degree Required,Job Location,Online Application Web Page,Hiring Policy,Date of Attendance,Attending Receptions,Company Profile,Sponsor?,Building
FedEx SmartPost,www.fedex.com,"Industrial and Operations Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors","West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",www.fedex.com/careers,2,"Tuesday, September 25th",Yes,"FedEx SmartPost is a wholly owned subsidiary of FedEx Ground which launched in September 2004 and provides a powerful cross-border solution designed for online retailers, catalogers, fulfillment houses, direct marketers, and other business-to-consumer shippers. We pick up, sort, line haul, track and deliver your packages by leveraging the delivery network and capabilities of the USPS and the Canada Post Corporation.",,EECS
FEV Inc,www.fev.com,"Automotive Engineering, Electrical Engineering, Engineering Math/Physics, Manufacturing Engineering, Mechanical Engineering",Full-time,"PhD, Masters, Bachelors",Midwest,http://www.fev.com/careers/how-to-apply/,2,"Tuesday, September 25th",No,FEV is a global engineering leader providing services to the automotive community as well as the heavy-duty and commercial vehicle industries.,,GA
Ford Motor Company,http://www.ford.com/,"Aerospace Engineering, Automotive Engineering, Biomedical Engineering, Computer Engineering, Computer Science, Electrical Engineering, Environmental Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors",Midwest,http://www.mycareer.ford.com,2,"Tuesday, September 25th",Yes,"Ford Motor Company, a global automotive industry leader based in Dearborn, Michigan, manufactures or distributes automobiles across six continents. With about 164,000 employees and about 70 plants worldwide, the company's automotive brands include Ford and Lincoln. The company provides financial services through Ford Motor Credit Company. For more information regarding Ford and its products worldwide, please visit www.corporate.ford.com.",,GA
Freddie Mac,www.freddiemac.com,"Computer Engineering, Computer Science, Financial Engineering","Full-time, Summer Internship",Bachelors,Northeast,,2,"Tuesday, September 25th",Yes,"At Freddie Mac, you'll play a key role in our nation's economy as you make home possible. A leader in the secondary mortgage market, Freddie Mac has made home ownership and rental housing more accessible and affordable for over 50 million families across America. Freddie Mac offers an unbelievable opportunity to take on interesting challenges that will help you create a lasting career with tremendous impact.",,DC
FTI Consulting,www.fticonsulting.com,"Computer Engineering, Computer Science, Industrial and Operations Engineering, Integrated Microsystems Engineering","Full-time, Summer Internship",,,http://tbe.taleo.net/NA5/ats/careers/requisition.jsp?org=FTICONSULTING&cws=49&rid=2742,2,"Monday, September 24th",Yes,"FTI Consulting, Inc. is a global business advisory firm dedicated to helping organizations protect and enhance enterprise value in an increasingly complex environment. FTI Consulting professionals work closely with clients to anticipate, illuminate and overcome complex business challenges in areas such as investigations, litigation, mergers and acquisitions, regulatory issues, reputation management and restructuring. More information can be found at www.fticonsulting.com.",X,DC
Garmin International,www.garmin.com,"Computer Engineering, Computer Science, Electrical Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors",Midwest,www.garmin.com,1,"Monday, September 24th",No,"Since its inception in 1989 by Gary Burrell and Dr. Min Kao, Garmin has evolved as the leading, worldwide provider of navigation, communication and information devices and applications, most of which are enabled by GPS technology. Garmin designs, develops, manufactures and markets a diverse line of user-friendly handheld portable and fixed-mount products for the auto, mobile, outdoor, fitness, marine and general aviation markets.",,PC
General Dynamics Advanced Information Systems,www.gd-ais.com,"Computer Engineering, Electrical Engineering, Naval Architecture and Marine Engineering","Full-time, Summer Internship","Masters, Bachelors","West Coast, Southwest, Northeast, Midwest, Southeast",www.gd-ais.com/careers,3,"Tuesday, September 25th",No,"General Dynamics Advanced Information Systems (GDAIS) is a market leader in advanced information systems, intelligence collection and processing, business aviation, land and expeditionary combat systems, armaments and munitions, shipbuilding and marine systems, and information systems and technologies. With the expertise to lead, the insight to deliver and the commitment to succeed, we staff each mission with a carefully selected team of seasoned professionals.",,DC
"General Dynamics, Bath Iron Works",https://www.gdbiw.com/,"Civil Engineering, Electrical Engineering, Mechanical Engineering, Naval Architecture and Marine Engineering",Summer Internship,"Masters, Bachelors",Northeast,https://www.gdbiw.com/JobsAtBIW.html,2,"Tuesday, September 25th",Yes,"Part of General Dynamics Marine Systems, Bath Iron Works is a full service shipyard specializing in the design, building and support of complex combatants for the U.S. Navy. Our summer internship program provides students with meaningful work experiences in their program of study and an increased awareness of our work environment. We're located on the coast of Maine, in the city of Bath, 2.5 hours from Boston and 45 minutes from Maine's largest city, Portland.",,PC
General Electric,http://www.ge.com/,"Aerospace Engineering, Biomedical Engineering, Chemical Engineering, Computer Engineering, Electrical Engineering, Materials Science and Engineering, Mechanical Engineering, Nuclear Engineering and Radiological Sciences","Full-time, Summer Internship, Co-Op","Masters, Bachelors","Northeast, Midwest, Southeast",http://www.ge.com/careers/,1,"Monday, September 24th",Yes,"GE (NYSE: GE) is a diversified infrastructure, finance and media company taking on the world's toughest challenges. From aircraft engines and power generation to financial services, medical imaging, and television programming, GE operates in more than 100 countries and employs about 300,000 people worldwide. For more information, visit the company's Web site at www.ge.com.",X,EECS
General Mills,www.generalmills.com,"Chemical Engineering, Civil Engineering, Electrical Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship",Bachelors,"West Coast, Southwest, Northeast, Northwest, Midwest, Southeast",,2,"Monday, September 24th",Yes,"Our Brands. Your Legacy. Great brands start with the people that make them great. One of the world's leading food companies, General Mills operates in more than 100 countries and markets more than 100 consumer brands, including Cheerios, Häagen-Dazs, Nature Valley, Betty Crocker, Pillsbury, Green Giant, Old El Paso, Yoplait and more. Headquartered in Minneapolis, Minnesota, USA, General Mills had fiscal 2011 global net sales of US $16 billion.",X,EECS
General Motors,www.gm.com,"Automotive Engineering, Computer Science, Computer Engineering, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship","Masters, Bachelors",Midwest,careers.gm.com,2,"Tuesday, September 25th",No,"General Motors does business in more than 120 countries, and has more than 200,000 employees worldwide. We're globally focused, and committed to pioneering safe and sustainable technologies. We design, build, and sell the world's best vehicles.",,BBB
GKN Sinter Metals,www.gknsintermetals.com,"Automotive Engineering, Electrical Engineering, Industrial and Operations Engineering, Manufacturing Engineering, Materials Science and Engineering, Mechanical Engineering","Full-time, Summer Internship",Bachelors,Midwest,,3,"Tuesday, September 25th",No,"GKN Sinter Metals is the worlds leading supplier of metal powder precision components. Our global production and sales network employs approximately 6,500 associates in more than 30 facilities on five continents. With a history dating back to the 1930s, today we have production sites in Germany, Italy, South Africa, India, China, Brazil, Argentina, Canada and the USA.",,DOW
